,Date,LST,County_FIP
98,2020-12-22,285.0425907990315,081
156,2020-12-23,285.49901960784314,081
214,2020-12-24,286.8803168567807,081
272,2020-12-25,282.9585657370518,081
330,2020-12-26,284.62535087719294,081
388,2020-12-27,284.1433389544688,081
446,2020-12-28,280.74447963800907,081
504,2020-12-29,285.0027425614489,081
562,2020-12-30,285.493948199621,081
620,2020-12-31,281.24017931858936,081
41,2020-12-21,298.2981501022935,083
99,2020-12-22,293.5856004846282,083
157,2020-12-23,285.8240425531915,083
215,2020-12-24,,083
273,2020-12-25,294.0785574293528,083
331,2020-12-26,288.4410659898477,083
389,2020-12-27,289.83016308269595,083
447,2020-12-28,282.7893827160494,083
505,2020-12-29,285.56222314049586,083
563,2020-12-30,286.92669296515453,083
621,2020-12-31,285.64728662420384,083
42,2020-12-21,289.7058218473565,085
100,2020-12-22,285.42393881453154,085
158,2020-12-23,285.9872884496603,085
216,2020-12-24,286.7308178844057,085
274,2020-12-25,285.3144161545215,085
332,2020-12-26,281.7795467422096,085
390,2020-12-27,286.3756829754262,085
448,2020-12-28,284.64657328664333,085
506,2020-12-29,284.35474210526314,085
564,2020-12-30,282.76233971690266,085
622,2020-12-31,280.6426609257266,085
43,2020-12-21,289.58721411192215,087
101,2020-12-22,285.70181143281366,087
159,2020-12-23,283.34604735883426,087
217,2020-12-24,287.3029250457039,087
275,2020-12-25,283.49672131147537,087
333,2020-12-26,278.95458333333335,087
391,2020-12-27,285.0275061728395,087
449,2020-12-28,283.73726606997565,087
507,2020-12-29,284.1783291770573,087
565,2020-12-30,282.2314408973253,087
623,2020-12-31,281.9064550898204,087
44,2020-12-21,281.50601078539825,089
102,2020-12-22,278.25393062827226,089
160,2020-12-23,279.5954188101834,089
218,2020-12-24,278.16429055690077,089
276,2020-12-25,271.74434662998624,089
334,2020-12-26,279.707631840796,089
392,2020-12-27,276.9894462540717,089
450,2020-12-28,279.1621827411168,089
508,2020-12-29,272.23865497076025,089
566,2020-12-30,278.4193924631036,089
624,2020-12-31,276.9579265223956,089
45,2020-12-21,278.9934325128483,091
103,2020-12-22,275.18753398058254,091
161,2020-12-23,273.6985354820469,091
219,2020-12-24,275.5866666666667,091
277,2020-12-25,270.39757575757574,091
335,2020-12-26,269.3552419354839,091
393,2020-12-27,,091
451,2020-12-28,270.1474596431606,091
509,2020-12-29,271.2029756706176,091
567,2020-12-30,273.9292762266197,091
625,2020-12-31,270.8786038961039,091
46,2020-12-21,277.199626860457,093
104,2020-12-22,272.8043993784613,093
162,2020-12-23,273.9758290805994,093
220,2020-12-24,273.239348494161,093
278,2020-12-25,268.4318867924528,093
336,2020-12-26,274.1371535647363,093
394,2020-12-27,269.5628928110202,093
452,2020-12-28,272.910020547658,093
510,2020-12-29,266.13180327868855,093
568,2020-12-30,274.11296931877274,093
626,2020-12-31,270.5442725104353,093
47,2020-12-21,288.1408695652174,095
105,2020-12-22,285.3037243207423,095
163,2020-12-23,284.7356383317415,095
221,2020-12-24,283.6289602233078,095
279,2020-12-25,266.26,095
337,2020-12-26,286.459848661234,095
395,2020-12-27,277.1461946902655,095
453,2020-12-28,281.9528985507246,095
511,2020-12-29,285.3204891304348,095
569,2020-12-30,286.6893938451974,095
627,2020-12-31,283.9095041322314,095
48,2020-12-21,286.93149606299215,097
106,2020-12-22,285.85588447653436,097
164,2020-12-23,285.34552783743595,097
222,2020-12-24,282.23171830985916,097
280,2020-12-25,,097
338,2020-12-26,285.03073428627374,097
