NDVI,LST,TA,Class
0.613303405,288.5050622,5,No_fire
0.6058977,294.2834267,5,No_fire
0.598491994,290.3515306,5,No_fire
0.591086289,289.3795108,5,No_fire
0.583680584,288.4074909,5,No_fire
0.576274879,291.5441611,5,No_fire
0.568869174,288.461392,5,No_fire
0.561463469,290.229096,5,No_fire
0.554057764,291.9968,5,No_fire
0.546652059,296.0209183,5,No_fire
0.539246354,296.6495157,5,No_fire
0.531840648,295.0321423,5,No_fire
0.524434943,298.0749042,5,No_fire
0.517029238,293.0814643,5,No_fire
0.509623533,293.2770682,5,No_fire
0.502217828,293.472672,5,No_fire
0.494812123,293.6682758,5,No_fire
0.498990436,293.8638797,5,No_fire
0.503168748,288.1972222,5,No_fire
0.507347061,292.4847619,5,No_fire
0.511525374,292.94,5,No_fire
0.515703686,295.704165,5,No_fire
0.519881999,289.7322807,5,No_fire
0.524060312,300.5931652,5,No_fire
0.528238624,300.0663871,5,No_fire
0.532416937,303.5865761,5,No_fire
0.53659525,296.0597375,5,No_fire
0.540773563,291.6092216,5,No_fire
0.544951875,297.002535,5,No_fire
0.549130188,294.554497,5,No_fire
0.553308501,297.9756863,5,No_fire
0.557486813,297.1412656,5,No_fire
0.561665126,302.8225466,5,No_fire
0.555741612,302.8828014,5,No_fire
0.549818099,301.8134314,5,No_fire
0.543894585,300.7440614,5,No_fire
0.537971071,301.5996881,5,No_fire
0.532047558,305.8106812,5,No_fire
0.526124044,304.2141452,5,No_fire
0.520200531,303.1077847,5,No_fire
0.514277017,302.0014242,5,No_fire
0.508353503,303.0342187,5,No_fire
0.50242999,302.615,5,No_fire
0.496506476,301.8702287,5,No_fire
0.490582962,309.0866943,5,No_fire
0.484659449,295.6767568,5,No_fire
0.478735935,307.9382195,5,No_fire
0.472812421,301.0577108,5,No_fire
0.466888908,303.5678337,5,No_fire
0.463382014,306.0779566,5,No_fire
0.459875121,306.3867953,5,No_fire
0.456368227,306.695634,5,No_fire
0.452861333,300.6638776,5,No_fire
0.44935444,294.6321212,5,No_fire
0.445847546,300.3830847,5,No_fire
0.442340653,306.1340481,5,No_fire
0.438833759,302.2980898,5,No_fire
0.435326865,301.1235281,5,No_fire
0.431819972,299.8656309,5,No_fire
0.428313078,299.4871348,5,No_fire
0.424806185,304.458419,5,No_fire
0.421299291,304.5685894,5,No_fire
0.417792398,293.55,5,No_fire
0.414285504,303.0616014,5,No_fire
0.41077861,312.5732029,5,No_fire
0.409146538,313.6538824,5,No_fire
0.407514465,309.8934136,5,No_fire
0.405882393,318.2590752,5,No_fire
0.40425032,304.430165,5,No_fire
0.402618248,308.4945924,5,No_fire
0.400986175,307.777912,5,No_fire
0.399354102,307.0612316,5,No_fire
0.39772203,306.3445511,5,No_fire
0.396089957,311.7645521,5,No_fire
0.394457885,317.184553,5,No_fire
0.392825812,311.9440742,5,No_fire
0.39119374,306.7035954,5,No_fire
0.389561667,299.6998198,5,No_fire
0.387929595,305.8154753,8,No_fire
0.386297522,304.8584483,5,No_fire
0.384665449,314.8306662,5,No_fire
0.383704232,304.7111271,5,No_fire
0.382743014,303.4497995,5,No_fire
0.381781796,302.188472,5,No_fire
0.380820578,299.8841286,5,No_fire
0.37985936,310.2760106,5,No_fire
0.378898142,310.0760196,5,No_fire
0.377936924,309.8760286,5,No_fire
0.376975707,309.1088914,5,No_fire
0.376014489,310.5029726,5,No_fire
0.375053271,311.8970537,5,No_fire
0.374092053,309.733237,5,No_fire
0.373130835,311.5020822,5,No_fire
0.372169617,304.6569912,5,No_fire
0.371208399,315.7124247,5,No_fire
0.370247182,311.832211,5,No_fire
0.369285964,312.7771053,5,No_fire
0.368812837,308.31459,5,No_fire
0.368339711,307.8813105,5,No_fire
0.367866584,307.4480309,5,No_fire
0.367393458,306.716975,5,No_fire
0.366920331,317.4537975,5,No_fire
0.366447204,308.8549298,5,No_fire
0.365974078,312.7519985,5,No_fire
0.365500951,304.8166834,5,No_fire
0.365027825,311.1144177,9,Fire
0.364554698,314.5117396,5,Fire
0.364081572,305.9608319,5,No_fire
